appearance,minutes_played,current_value_category_encoded,highest_value,games_injured,goals,current_value
104,9390,1,70000000,5,0.0,15000000
15,1304,0,22000000,58,0.0,1500000
4,292,0,6000000,84,0.0,600000
82,6408,1,50000000,22,0.028089888,50000000
63,5031,1,80000000,51,0.017889088,40000000
68,4762,1,70000000,27,0.037799244,25000000
70,5471,1,35000000,19,0.0,15000000
8,416,0,20000000,169,0.0,2000000
34,2758,0,2000000,13,0.0,2000000
74,5854,1,42000000,70,0.015374103,35000000
89,7132,1,22000000,15,0.012619181,22000000
34,2686,1,12000000,28,0.0,10000000
72,5574,1,35000000,49,0.032292788,35000000
60,4783,1,40000000,20,0.0,22000000
101,7928,1,80000000,31,0.090817356,50000000
76,4687,1,35000000,53,0.096010241,25000000
55,4017,1,100000000,0,0.067214339,25000000
74,3124,1,42000000,35,0.144046095,20000000
92,4869,1,50000000,10,0.184842884,20000000
31,1157,1,55000000,65,0.155574762,17000000
39,2788,0,800000,0,0.129124821,800000
51,3512,0,800000,0,0.153758542,800000
105,9025,1,90000000,2,0.23933518,75000000
88,5957,1,85000000,35,0.528789659,80000000
79,4914,1,130000000,32,0.21978022,55000000
63,3048,1,25000000,0,0.236220472,25000000
72,3595,1,25000000,11,0.525730181,25000000
80,5906,1,75000000,22,0.335252286,70000000
34,1030,1,7000000,15,0.0,3000000
24,1700,2,50000000,12,0.317647059,0
52,2481,1,65000000,70,0.399032648,15000000
93,6651,1,30000000,7,0.270635995,14000000
41,3606,1,17500000,4,0.0,8000000
75,6623,0,9000000,99,0.0,1000000
70,6209,1,32000000,49,0.086970527,32000000
65,5394,1,35000000,68,0.050055617,28000000
72,4852,1,35000000,49,0.037098104,18000000
42,3326,0,13000000,87,0.027059531,1000000
71,5241,1,30000000,37,0.051516886,12000000
80,6421,0,12000000,31,0.028033017,2500000
64,4605,1,12000000,1,0.019543974,12000000
72,5740,1,12000000,25,0.0,9000000
100,8570,1,80000000,1,0.105017503,80000000
101,8050,1,45000000,1,0.100621118,35000000
74,4528,1,8000000,0,0.019876325,8000000
87,6401,1,45000000,4,0.224964849,45000000
104,6062,1,30000000,3,0.193005609,25000000
69,4089,1,20000000,72,0.220102715,8000000
100,5913,1,25000000,2,0.350076104,22000000
51,2609,1,18000000,23,0.310463779,15000000
105,8335,1,42000000,0,0.334733053,38000000
65,3651,1,30000000,38,0.591618735,27000000
74,3927,1,22000000,116,0.38961039,16000000
95,6746,1,18000000,65,0.36021346,9000000
33,2970,1,10000000,29,0.0,8000000
65,5867,0,2000000,0,0.0,2000000
31,2790,0,3500000,14,0.0,600000
78,7004,1,20000000,2,0.064249001,20000000
50,4301,1,45000000,54,0.041850732,15000000
40,3414,1,15000000,48,0.026362039,15000000
64,5110,1,15000000,95,0.017612524,15000000
25,1465,1,20000000,35,0.0,5000000
41,3249,1,15000000,67,0.055401662,3000000
71,5432,1,12000000,10,0.016568483,12000000
57,4341,1,12000000,0,0.0,10000000
12,812,0,20000000,129,0.0,1000000
78,6357,1,28000000,30,0.042472865,28000000
35,2782,1,25000000,79,0.032350827,25000000
35,2078,1,40000000,79,0.129932628,12000000
61,4440,1,60000000,44,0.040540541,32000000
59,3545,1,28000000,0,0.0,20000000
42,2309,1,12000000,62,0.038977913,3500000
87,6925,1,55000000,27,0.142960289,30000000
78,5661,1,25000000,1,0.079491256,25000000
51,2520,1,25000000,74,0.107142857,8000000
85,6203,1,60000000,30,0.406255038,55000000
